■売上入金管理表,,,,,作成日時：2026/02/27 16:48
店舗 ： あやめ薬局　　　　　集計年月 : 2026年02月
日,曜,処方枚数,【売上】調剤負担金      ,調剤負担金（自費,医薬品,医療機器,雑貨・化粧品    ,菓子・食料品    ,容器代,レジ袋,◆合計金額◆,【入金】現金,クレジット      ,QRｺｰﾄﾞ決済      ,未収金,◆合計金額◆,達成率
1,日,55,77020,0,0,0,0,0,50,0,77070,51550,25520,0,0,77070,
2,月,90,75760,33,0,0,0,700,290,5,76788,63228,13560,0,0,76788,
3,火,3,3790,33,0,0,0,0,0,0,3823,430,2390,0,1003,3823,
4,水,77,82170,352,0,0,0,0,760,5,83287,61537,17740,0,4010,83287,
5,木,69,69640,77,700,0,0,0,630,10,71057,57955,6360,0,6742,71057,
6,金,59,70518,715,0,0,1500,0,340,0,73073,47991,21822,0,3260,73073,
7,土,77,99740,7280,0,0,0,0,400,10,107430,76080,31350,0,0,107430,
8,日,37,47650,10603,50000,0,0,0,130,5,108388,40098,68290,0,0,108388,
9,月,59,50814,1177,297,0,0,680,680,5,53653,44370,7810,0,1473,53653,
10,火,5,11240,0,0,0,0,0,0,5,11245,3545,0,0,7700,11245,
11,水,,,,,,,,,,,,,,,,
12,木,84,103640,8131,0,0,0,950,450,0,113171,90651,22520,0,0,113171,
13,金,46,55930,110,400,0,1500,700,100,5,58745,58345,400,0,0,58745,
14,土,72,95970,3189,700,0,0,0,1450,15,101324,71594,29730,0,0,101324,
15,日,48,64790,8691,50000,0,0,400,90,5,123976,43176,80800,0,0,123976,
16,月,75,68120,461,0,300,0,1130,550,0,70561,44081,21910,0,4570,70561,
17,火,4,10230,0,1207,0,0,0,0,0,11437,2237,1610,0,7590,11437,
18,水,42,63760,-9449,2200,0,1500,980,90,0,59081,41081,12840,0,5160,59081,
19,木,43,64290,-2629,0,0,0,0,230,5,61896,32946,27880,0,1070,61896,
20,金,48,51600,11,600,0,0,600,960,5,53776,47216,2760,0,3800,53776,
21,土,69,91380,19340,7500,0,1500,0,930,10,120660,87480,29720,3460,0,120660,
22,日,43,71980,0,0,0,700,137,230,5,73052,63222,9830,0,0,73052,
23,月,,,,,,,,,,,,,,,,
24,火,5,2020,0,0,0,0,0,0,0,2020,750,1270,0,0,2020,
25,水,62,75980,2771,0,0,3280,5584,740,30,88385,70931,17454,0,0,88385,
26,木,38,72070,-2469,1207,0,0,0,150,5,70963,42246,28717,0,0,70963,
27,金,58,73660,2607,0,0,1500,980,810,5,79562,70067,9495,0,0,79562,
28,土,,,,,,,,,,,,,,,,
,合計,1268,1553762,51034,114811,300,11480,12841,10060,135,1754423,1212807,491778,3460,46378,1754423,
